nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
NCT03100331,"ClinicalTrials.gov processed this data on August 01, 2018",2017-03-20,NA,NA,2018-04-26,2017-03-28,2017-04-04,Actual,NA,NA,NA,NA,NA,NA,2018-04-26,2018-04-30,Actual,"January 13, 2017",Actual,2017-01-13,April 2018,2018-04-30,"January 13, 2020",Anticipated,2020-01-13,"January 13, 2020",Anticipated,2020-01-13,NA,Interventional,NA,,Neuropsychological Outcomes of Internationally-Adopted Children Who Are Perinatally-Infected With Human Immunodeficiency Virus,Neuropsychological Outcomes of Internationally-Adopted Children Who Are Perinatally-Infected With Human Immunodeficiency Virus,"Active, not recruiting",NA,N/A,17,Actual,Spectrum Health Hospitals,,1,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,We may share the data with future co-investigators at the NIH Peds HIV observational cohort study,2018-08-01T22:24:24Z,2018-08-01T22:24:24Z
NCT03090802,"ClinicalTrials.gov processed this data on August 01, 2018",2017-03-16,NA,NA,2017-12-14,2017-03-21,2017-03-27,Actual,NA,NA,NA,NA,NA,NA,2017-12-14,2017-12-18,Actual,"June 26, 2017",Actual,2017-06-26,December 2017,2017-12-31,"September 30, 2018",Anticipated,2018-09-30,"September 30, 2018",Anticipated,2018-09-30,NA,Interventional,MAMAS,,MAMAS: Mentoring Adolescent Mothers at School,Re-enrolling Young South African Mothers in School as a Social Vaccine Against HIV Transmission,Recruiting,NA,N/A,480,Anticipated,Drexel University,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,"Persons requesting permission to access non-biological data (behavioral assessments) will communicate with the project PI, Dr. Ali Groves, who will provide/decline permission. Persons requesting permission to access biological data (biological assessments and specimens) will communicate with the site PI, Dr. Daya Moodley, who will provide/decline permission. If permission is granted, the relevant research staff will be alerted to the release of samples/data as requested. A list of the participant samples/data being released will be provided to the PI, and the person requesting the data. Both will acknowledge release and receipt of samples/data. Data that will be provided with the samples will be limited to demographic data, no personal participant information will be provided; only participant identifiers will be used to identify the specific sample/data requested.",2018-08-01T22:26:01Z,2018-08-01T22:26:01Z
NCT03066128,"ClinicalTrials.gov processed this data on August 01, 2018",2017-02-22,NA,NA,2018-05-01,2017-02-23,2017-02-28,Actual,NA,NA,NA,NA,NA,NA,2018-05-01,2018-05-07,Actual,"February 24, 2017",Actual,2017-02-24,May 2018,2018-05-31,"March 27, 2019",Anticipated,2019-03-27,"September 27, 2018",Anticipated,2018-09-27,NA,Interventional,STREAM,,Point-of-care Viral Load Testing to Enable Streamlined Care and Task Shifting for Chronic HIV Care,Point-of-care Viral Load Testing to Enable Streamlined Care and Task Shifting for Chronic HIV Care,"Active, not recruiting",NA,N/A,390,Actual,University of Washington,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,De-identified individual participant data for all outcome measures will be made available after study completion,2018-08-01T22:29:59Z,2018-08-01T22:29:59Z
NCT03051789,"ClinicalTrials.gov processed this data on August 01, 2018",2017-02-09,NA,NA,2018-03-12,2017-02-13,2017-02-14,Actual,NA,NA,NA,NA,NA,NA,2018-03-12,2018-03-13,Actual,"February 28, 2017",Actual,2017-02-28,March 2018,2018-03-31,March 2020,Anticipated,2020-03-31,March 2020,Anticipated,2020-03-31,NA,Interventional,CCg,,Cups or Cash for Girls Trial to Reduce Sexual and Reproductive Harm and School Dropout,Menstrual Cups and Cash Transfer to Reduce Sexual and Reproductive Harm and School Dropout in Adolescent Schoolgirls in Western Kenya: a Cluster Randomised Controlled Trial,Recruiting,NA,N/A,3864,Anticipated,Liverpool School of Tropical Medicine,,4,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,Yes,"A link will be provided from LSTM and study-specific website to study resources including the protocol, participant information sheets, SOPs, publications and the database. A data repository is being established at LSTM and will be entrusted with storing data when ready. The investigators policy to data sharing will be published on the study website. A final database containing all research data will be made fully publicly available in an unrestricted format once the findings have been published. The only limits to data sharing will be to safeguard participants' confidentiality. The proposed procedures for data sharing will be set out and explained to the research participants as part of the informed consent process. External users will be bound by data sharing agreements in line with The MRC Data Sharing Policy. External users will be required to accept terms and conditions of use using a declaration tick box.",2018-08-01T22:32:37Z,2018-08-01T22:32:37Z
NCT03049176,"ClinicalTrials.gov processed this data on August 01, 2018",2017-02-07,NA,NA,2017-04-18,2017-02-07,2017-02-09,Estimate,NA,NA,NA,NA,NA,NA,2017-04-18,2017-04-19,Actual,"March 13, 2017",Actual,2017-03-13,April 2017,2017-04-30,March 2019,Anticipated,2019-03-31,April 2018,Anticipated,2018-04-30,NA,Observational,SAFER,,The Impact and Cost-effectiveness of Safer Conception Strategies for HIV-discordant Couples (SAFER),The Impact and Cost-effectiveness of Safer Conception Strategies for HIV-discordant Couples,Recruiting,NA,NA,160,Anticipated,"University of California, San Francisco",,NA,2,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,De-identified data will be made available at the end of the study on an online repository.,2018-08-01T22:33:02Z,2018-08-01T22:33:02Z
NCT03037372,"ClinicalTrials.gov processed this data on August 01, 2018",2017-01-10,NA,NA,2017-01-26,2017-01-26,2017-01-31,Estimate,NA,NA,NA,NA,NA,NA,2017-01-26,2017-01-31,Estimate,"June 1, 2017",Anticipated,2017-06-01,January 2017,2017-01-31,"December 31, 2022",Anticipated,2022-12-31,"June 30, 2022",Anticipated,2022-06-30,NA,Interventional,STAR,,Statin Adjunct Therapy Among ART-treated Adults in Sub-Saharan Africa: Atorvastatin and Rosuvastatin Equivalence Trial,Statin Adjunct Therapy Among HAART-treated Adults in Sub-Saharan Africa: Equivalence of Atorvastatin and Rosuvastatin,Not yet recruiting,NA,Phase 3,320,Anticipated,Makerere University,,4,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,,Yes,"Data will be shared with the Infectious Diseases Institute, according to the IDI data sharing policy",2018-08-01T22:35:04Z,2018-08-01T22:35:04Z
NCT03033836,"ClinicalTrials.gov processed this data on August 01, 2018",2016-08-18,NA,NA,2017-08-09,2017-01-24,2017-01-27,Estimate,NA,NA,NA,NA,NA,NA,2017-08-09,2017-08-10,Actual,December 2015,NA,2015-12-31,August 2017,2017-08-31,December 2017,Anticipated,2017-12-31,October 2017,Anticipated,2017-10-31,NA,Interventional,TRANSViiV,,Dolutegravir Plus Tenofovir/Lamivudine or Emtricitabine in HIV-1 Infected Transgender Women,Pilot Study of Dolutegravir Plus Tenofovir/Lamivudine or Emtricitabine in HIV-1 Infected Transgender Women,Recruiting,NA,Phase 4,60,Anticipated,The Huesped Foundation,,1,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,to publish study results,2018-08-01T22:35:45Z,2018-08-01T22:35:45Z
NCT03030768,"ClinicalTrials.gov processed this data on August 01, 2018",2017-01-12,NA,NA,2017-11-01,2017-01-20,2017-01-25,Estimate,NA,NA,NA,NA,NA,NA,2017-11-01,2017-11-06,Actual,February 2016,NA,2016-02-29,November 2017,2017-11-30,August 2018,Anticipated,2018-08-31,June 2018,Anticipated,2018-06-30,NA,Observational,SCIP,,Safer Conception Intervention for HIV-1 Serodiscordant Couples,"Pilot of an mHealth-enhanced, Safer Conception Intervention to Reduce HIV-1 Risk Among Kenyan HIV-1 Serodiscordant Couples","Active, not recruiting",NA,NA,74,Actual,University of Washington,,NA,1,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,Samples Without DNA,"
      Plasma
    ",Yes,De-identified individual participant data for all outcome measures will be made available after study completion,2018-08-01T22:36:15Z,2018-08-01T22:36:15Z
NCT03024762,"ClinicalTrials.gov processed this data on August 01, 2018",2016-12-06,NA,NA,2017-01-22,2017-01-15,2017-01-19,Estimate,NA,NA,NA,NA,NA,NA,2017-01-22,2017-01-24,Estimate,July 2015,Actual,2015-07-31,January 2017,2017-01-31,December 2018,Anticipated,2018-12-31,December 2016,Actual,2016-12-31,NA,Interventional,ASPA,,Active Search for Pediatric HIV/AIDS (ASPA),Active Search for Pediatric HIV/AIDS (ASPA),"Active, not recruiting",NA,N/A,870,Anticipated,Research for Development International,,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,Data can be made available to other researchers through an application addressed to the sponsor (Research for Development International) and this via the Principal Investigator (Dr Yumo Habakkuk).,2018-08-01T22:37:10Z,2018-08-01T22:37:10Z
NCT03004170,"ClinicalTrials.gov processed this data on August 01, 2018",2016-12-20,NA,NA,2018-04-03,2016-12-22,2016-12-28,Estimate,NA,NA,NA,NA,NA,NA,2018-04-03,2018-04-05,Actual,December 2016,Actual,2016-12-31,April 2018,2018-04-30,February 2020,Anticipated,2020-02-29,February 2020,Anticipated,2020-02-29,NA,Interventional,NA,,Telephone Counseling to Enhance the Quality and Safety of Romantic and Sexual Relationships in People Living and Aging With HIV,NA,Recruiting,NA,N/A,336,Anticipated,Oregon Health and Science University,,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,Raw de-identified data will be made publicly available to the scientific community upon request after the trial is complete and data have been published. Data requests should be directed to the study principal investigator.,2018-08-01T22:40:33Z,2018-08-01T22:40:33Z
NCT03002012,"ClinicalTrials.gov processed this data on August 01, 2018",2016-12-14,NA,NA,2018-03-20,2016-12-20,2016-12-23,Estimate,NA,NA,NA,NA,NA,NA,2018-03-20,2018-03-22,Actual,"November 15, 2017",Actual,2017-11-15,March 2018,2018-03-31,"March 13, 2018",Actual,2018-03-13,"March 13, 2018",Actual,2018-03-13,NA,Interventional,C-ASSERT,,Cryptococcal Antigen Screening Plus Sertraline,Cryptococcal Antigen Screening Plus Sertraline,Terminated,NA,Phase 3,21,Actual,University of Minnesota - Clinical and Translational Science Institute,,2,NA,"SAEs with n=1 serotonin syndrome, n=2 SAEs after sertraline interruption.",FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,,Yes,A formal written data sharing plan exists. No data will be shared until after trial completion.,2018-08-01T22:40:51Z,2018-08-01T22:40:51Z
NCT02994329,"ClinicalTrials.gov processed this data on August 01, 2018",2016-11-30,NA,NA,2018-01-11,2016-12-14,2016-12-15,Estimate,NA,NA,NA,NA,NA,NA,2018-01-11,2018-01-16,Actual,"January 18, 2017",Actual,2017-01-18,January 2018,2018-01-31,"September 30, 2017",Actual,2017-09-30,"September 30, 2017",Actual,2017-09-30,NA,Interventional,NA,,Community-based Distribution of Oral HIV Self-testing Kits,Community-based Distribution of Oral HIV Self-testing Kits-A Pilot Intervention and Rapid Impact Evaluation,Completed,NA,N/A,8080,Actual,Zambart,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,the de-identified data will be made available via International Initiative for Evaluation's (3ie) public access data repository.,2018-08-01T22:42:11Z,2018-08-01T22:42:11Z
NCT02969915,"ClinicalTrials.gov processed this data on August 01, 2018",2016-11-18,NA,NA,2017-12-19,2016-11-18,2016-11-21,Estimate,NA,NA,NA,NA,NA,NA,2017-12-19,2017-12-21,Actual,"October 30, 2017",Actual,2017-10-30,December 2017,2017-12-31,January 2021,Anticipated,2021-01-31,January 2021,Anticipated,2021-01-31,NA,Interventional,NA,,Strategies to Improve the HIV Care Continuum Among Key Populations in India,Strategies to Improve the HIV Care Continuum Among Key Populations in India,Recruiting,NA,N/A,18400,Anticipated,Johns Hopkins University,,2,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,"The investigators will require prospective collaborators to submit concept sheets to the study PIs that include a brief summary of the proposed hypothesis, summary of research methods, specific data or specimens that are being requested, and plans for analysis. Reasonable requests that address relevant scientific questions will be welcomed and supported to the extent possible.",2018-08-01T22:46:46Z,2018-08-01T22:46:46Z
NCT02965014,"ClinicalTrials.gov processed this data on August 01, 2018",2016-11-14,NA,NA,2018-02-07,2016-11-15,2016-11-16,Estimate,NA,NA,NA,NA,NA,NA,2018-02-07,2018-02-09,Actual,"January 18, 2017",Actual,2017-01-18,February 2018,2018-02-28,July 2020,Anticipated,2020-07-31,July 2020,Anticipated,2020-07-31,NA,Interventional,NA,,NC Young Women's CoOp,Young Women-Focused HIV Prevention: Seek & Test in North Carolina (NC) Clinics,Recruiting,NA,N/A,700,Anticipated,RTI International,,3,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,Yes,"Analytic data sets will be prepared in accordance with the ""Privacy Rule"" of the Health Insurance Portability and Accountability Act (HIPAA; http://www.hhs.gov/ocr/) as ""limited data sets"" in which names and other personal health identifiers are removed, birthdays have been converted to age at intake, and other dates have been changed to be days before or after the date of intake. Because there are fewer than 20,000 people in the data set, HIPAA says we cannot ensure that it is completely ""de-identified""; consequently, HIPAA requires that we treat it as a ""limited data set"" and that we have a data sharing agreement (DSA) in place before giving anyone access to the client-level data. After the main findings are published, we will welcome other researchers who want to analyze the data in other ways. Requesting access to data will involve drafting an abstract, checking the feasibility relative to the available data, and seeking the permission of the PI and her team.",2018-08-01T22:47:44Z,2018-08-01T22:47:44Z
NCT02949713,"ClinicalTrials.gov processed this data on August 01, 2018",2016-10-26,NA,NA,2016-10-27,2016-10-27,2016-10-31,Estimate,NA,NA,NA,NA,NA,NA,2016-10-27,2016-10-31,Estimate,June 2017,NA,2017-06-30,October 2016,2016-10-31,February 2018,Anticipated,2018-02-28,February 2018,Anticipated,2018-02-28,NA,Interventional,NA,,Text Messaging Plus Motivational Interviewing in Promotion of Breastfeeding Among HIV-infected Women,"Feasibility and Effects of Mobile Phone Text Messaging Plus Motivational Interviewing Versus Usual Care in Promotion of Breastfeeding Among HIV-infected Women in South Africa: A Randomized, Parallel Group, Controlled Pilot Trial",Not yet recruiting,NA,N/A,84,Anticipated,University of Stellenbosch,,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,The IPD will be available from the corresponding author on reasonable request,2018-08-01T22:50:40Z,2018-08-01T22:50:40Z
NCT02891720,"ClinicalTrials.gov processed this data on August 01, 2018",2016-08-29,NA,NA,2016-09-01,2016-09-01,2016-09-07,Estimate,NA,NA,NA,NA,NA,NA,2016-09-01,2016-09-07,Estimate,June 2017,NA,2017-06-30,September 2016,2016-09-30,November 2019,Anticipated,2019-11-30,November 2018,Anticipated,2018-11-30,NA,Interventional,NA,,Feasibility of an Ingestible Sensor System to Measure PrEP Adherence in YMSM,Feasibility of an Ingestible Sensor System to Measure PrEP Adherence in YMSM,Not yet recruiting,NA,N/A,100,Anticipated,Hektoen Institute for Medical Research,,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,"Findings from this study will provide pharmacokinetic data along with evidence of the feasibility and acceptability of the novel Proteus adherence monitoring system for use among young MSM who are highly vulnerable to HIV infection. Audiences for dissemination are: 1) scientists; 2) primary and secondary prevention practitioners; and 3) YMSM, their partners, and their friends/families. Traditional dissemination vehicles will be used including manuscripts and presentations at international and national meetings. To facilitate integration of the findings into the public health arena, the protocol team will work closely with their YAB and present findings in forums attended by community-based organizations, such as local PrEP trainings and workshops.",2018-08-01T23:03:25Z,2018-08-01T23:03:25Z
NCT02886416,"ClinicalTrials.gov processed this data on August 01, 2018",2016-08-29,NA,NA,2016-09-01,2016-08-29,2016-09-01,Estimate,NA,NA,NA,NA,NA,NA,2016-09-01,2016-09-02,Estimate,September 2016,NA,2016-09-30,September 2016,2016-09-30,September 2018,Anticipated,2018-09-30,September 2017,Anticipated,2017-09-30,NA,Observational,"""ImmunoCo27""",,Co-adaptation Between Human Immunodeficiency Virus (HIV) and Cluster of Differentiation 8 (CD8) Cellular Immunity,"Study of Co-adaptation Between Human Immunodeficiency Virus (HIV) and Cluster of Differentiation 8 (CD8) Cellular Immunity, for 27 Years of Natural Evolution and on Treatment",Not yet recruiting,NA,NA,28,Anticipated,French National Institute for Health and Medical Research-French National Agency for Research on AIDS and Viral Hepatitis (Inserm-ANRS),,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,Samples With DNA,"
      frozen PBMC
    ",Yes,Scientific publication,2018-08-01T23:04:24Z,2018-08-01T23:04:24Z
NCT02850276,"ClinicalTrials.gov processed this data on August 01, 2018",2016-07-27,NA,NA,2017-07-21,2016-07-27,2016-07-29,Estimate,NA,NA,NA,NA,NA,NA,2017-07-21,2017-07-25,Actual,November 2015,NA,2015-11-30,July 2017,2017-07-31,March 2018,Anticipated,2018-03-31,March 2018,Anticipated,2018-03-31,NA,Interventional,ANGI,,"Autonomic Neuropathy, GI Motility, and Inflammation in HIV","Autonomic Neuropathy, Gastrointestinal Motility, and Inflammation in HIV",Recruiting,NA,Early Phase 1,45,Anticipated,Icahn School of Medicine at Mount Sinai,,1,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,Data will be shared with participants in real time if the tests have any clinical significance.,2018-08-01T23:10:33Z,2018-08-01T23:10:33Z
NCT02842060,"ClinicalTrials.gov processed this data on August 01, 2018",2016-07-16,NA,NA,2017-05-09,2016-07-21,2016-07-22,Estimate,NA,NA,NA,NA,NA,NA,2017-05-09,2017-05-10,Actual,November 2016,Actual,2016-11-30,May 2017,2017-05-31,May 2017,Actual,2017-05-31,May 2017,Actual,2017-05-31,NA,Interventional,myDEx,,Development of a Tailored HIV Prevention Intervention for Young Men,Development of a Tailored HIV Prevention Intervention for Young Men,Completed,NA,N/A,180,Actual,University of Pennsylvania,,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,"The investigators will assure the timely release and sharing of data two years after the publication of the main trial findings from the final dataset. Study variables will be available; however, the investigators will protect the rights and privacy of human subjects by redacting all identifiers from the dataset. The de-identified data from this project will be available through individual requests directed to the Principal Investigator.",2018-08-01T23:11:57Z,2018-08-01T23:11:57Z
NCT02827240,"ClinicalTrials.gov processed this data on August 01, 2018",2016-06-30,NA,NA,2018-05-02,2016-07-05,2016-07-11,Estimate,NA,NA,NA,NA,NA,NA,2018-05-02,2018-05-07,Actual,August 2016,Actual,2016-08-31,May 2018,2018-05-31,June 2017,Actual,2017-06-30,March 2017,Actual,2017-03-31,NA,Interventional,ZEST,,Zambian Peer-Educators for HIV Self-Testing Study,A Peer Educator-delivered HIV Self-testing Intervention for Female Sex Workers in Zambian Border Towns,Completed,NA,N/A,965,Actual,Harvard School of Public Health,,3,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,De-identified data will be made available via International Initiative for Impact Evaluation's public access data repository.,2018-08-01T23:14:28Z,2018-08-01T23:14:28Z
NCT02817451,"ClinicalTrials.gov processed this data on August 01, 2018",2016-06-27,NA,NA,2018-05-15,2016-06-27,2016-06-29,Estimate,NA,NA,NA,NA,NA,NA,2018-05-15,2018-05-18,Actual,"July 14, 2016",Actual,2016-07-14,May 2018,2018-05-31,"August 30, 2020",Anticipated,2020-08-30,"September 11, 2018",Anticipated,2018-09-11,NA,Interventional,NA,,DTaP-IPV-HB-PRP-T Combined Vaccine as a Primary Series and a 2nd Year of Life Booster in HIV-Exposed Infected and Uninfected Infants,Immunogenicity and Safety of Sanofi Pasteur's DTaP-IPV-HB-PRP-T Combined Vaccine Given as a Primary Series and a Second Year of Life Booster in HIV-Exposed Infected and in HIV-Exposed Uninfected Infants in Republic of South Africa,"Active, not recruiting",NA,Phase 3,100,Actual,Sanofi,,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,"Individual participant data (IPD) and supporting clinical documents are available for request at www.clinicalstudydatarequest.com. While making information available we continue to protect the privacy of the participants in our clinical trials and to remove commercially confidential information (CCI). Details on Data Sharing criteria and process for requesting access can be found at this web address: Clinicalstudydatarequest.com/Sanofi"".",2018-08-01T23:16:19Z,2018-08-01T23:16:19Z
NCT02797587,"ClinicalTrials.gov processed this data on August 01, 2018",2016-06-08,NA,NA,2018-06-20,2016-06-08,2016-06-13,Estimate,NA,NA,NA,NA,NA,NA,2018-06-20,2018-06-25,Actual,"July 19, 2017",Actual,2017-07-19,June 2018,2018-06-30,December 2020,Anticipated,2020-12-31,April 2020,Anticipated,2020-04-30,NA,Interventional,St PETER HIV,,Studying Partial-agonists for Ethanol and Tobacco Elimination in Russians With HIV (St PETER HIV),URBAN ARCH 4/5 Russia Cohort-Targeting HIV-comorbidities With Pharmacotherapy to Reduce Alcohol and Tobacco Use in HIV-infected Russians,Recruiting,NA,Phase 2/Phase 3,400,Anticipated,Boston Medical Center,,4,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,All data from the study will be placed into the URBAN ARCH repository.,2018-08-01T23:19:56Z,2018-08-01T23:19:56Z
NCT02775929,"ClinicalTrials.gov processed this data on August 01, 2018",2016-05-10,NA,NA,2017-12-07,2016-05-14,2016-05-18,Estimate,NA,NA,NA,NA,NA,NA,2017-12-07,2017-12-08,Actual,November 2012,NA,2012-11-30,December 2017,2017-12-31,June 2016,Actual,2016-06-30,June 2016,Actual,2016-06-30,NA,Interventional,NA,,Partners Demonstration Project of PrEP and ART,"An Open Label, Pilot Demonstration and Evaluation Project of Antiretroviral-based HIV-1 Prevention Among High-risk Serodiscordant African Couples",Completed,NA,Phase 4,1013,Actual,University of Washington,,1,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,Data from the Partners Demonstration Project are available by contacting the International Clinical Research Center at the University of Washington (icrc@uw.edu).,2018-08-01T23:24:12Z,2018-08-01T23:24:12Z
NCT02756208,"ClinicalTrials.gov processed this data on August 01, 2018",2016-04-17,NA,NA,2017-08-02,2016-04-26,2016-04-29,Estimate,NA,NA,NA,NA,NA,NA,2017-08-02,2017-08-03,Actual,November 2015,Actual,2015-11-30,August 2017,2017-08-31,July 2018,Anticipated,2018-07-31,July 2018,Anticipated,2018-07-31,NA,Interventional,FLSC-001,,A Safety and Immunogenicity Trial of IHV01,A Phase I Safety and Immunogenicity Trial of IHV01 in HIV-1 Uninfected Volunteers,"Active, not recruiting",NA,Phase 1,60,Anticipated,University of Maryland,,6,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,,Yes,NA,2018-08-01T23:28:06Z,2018-08-01T23:28:06Z
NCT02741128,"ClinicalTrials.gov processed this data on August 01, 2018",2016-04-08,NA,NA,2017-06-28,2016-04-12,2016-04-18,Estimate,NA,NA,NA,NA,NA,NA,2017-06-28,2017-06-29,Actual,"March 20, 2019",Anticipated,2019-03-20,June 2017,2017-06-30,"March 18, 2021",Anticipated,2021-03-18,"March 18, 2021",Anticipated,2021-03-18,NA,Interventional,NA,,Safety and Immunogenicity of a Tetravalent Dengue Vaccine in HIV-Positive Adults,Safety and Immunogenicity of a Tetravalent Dengue Vaccine in HIV-Positive Adults Aged 18 to 50 Years in Brazil,Not yet recruiting,NA,Phase 2,150,Anticipated,Sanofi,,2,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,Yes,Individual participant data (IPD) and supporting clinical documents are available for request at clinicalstudydatarequest.com. While making information available Sanofi continues to protect the privacy of the participants in clinical trials and to remove commercially confidential information (CCI). Details on Data Sharing criteria and process for requesting access can be found at this web address: clinicalstudydatarequest.com,2018-08-01T23:31:18Z,2018-08-01T23:31:18Z
NCT02707926,"ClinicalTrials.gov processed this data on August 01, 2018",2016-03-03,NA,NA,2017-09-20,2016-03-08,2016-03-14,Estimate,NA,NA,NA,NA,NA,NA,2017-09-20,2017-09-25,Actual,September 2018,Anticipated,2018-09-30,September 2017,2017-09-30,June 2021,Anticipated,2021-06-30,June 2020,Anticipated,2020-06-30,NA,Observational,NA,,The Lymphoid Tissue Pharmacology of Antiretroviral Drugs,The Lymphoid Tissue Pharmacology of Antiretroviral Drugs,Not yet recruiting,NA,NA,18,Anticipated,University of Nebraska,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,Samples Without DNA,"
      Blood, urine, lymph node biopsy, colonoscopy biopsy of ileum and rectum
    ",Yes,"The results of this trial will be of interest to the HIV research and medical communities. We expect to submit the data from the main analysis within 6 months of completing the work. We will publish the results in a major scientific journal and present the results at a major scientific meeting (e.g., CROI). Subsequent analyses will be presented at national and international HIV meetings. Data generated under this project, and any intellectual property, will be administered in accordance with NIH policies, including the NIH Data Sharing Policy the NIH Public Access Policy.",2018-08-01T23:38:00Z,2018-08-01T23:38:00Z
NCT02696824,"ClinicalTrials.gov processed this data on August 01, 2018",2016-02-18,NA,NA,2018-02-16,2016-02-25,2016-03-02,Estimate,NA,NA,NA,NA,NA,NA,2018-02-16,2018-02-20,Estimate,March 2016,NA,2016-03-31,February 2018,2018-02-28,January 2022,Anticipated,2022-01-31,January 2021,Anticipated,2021-01-31,NA,Interventional,NA,,Effectiveness of Nurse-delivered Care for Adherence/Mood in HIV in South Africa,Effectiveness of Nurse-delivered Care for Adherence/Mood in HIV in South Africa,Recruiting,NA,N/A,160,Anticipated,University of Miami,,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,,Yes,"After all primary analyses are complete, de-identified data will be available per request of outside individual.",2018-08-01T23:39:55Z,2018-08-01T23:39:55Z
NCT02571595,"ClinicalTrials.gov processed this data on August 01, 2018",2015-08-25,NA,NA,2017-09-19,2015-10-06,2015-10-08,Estimate,NA,NA,NA,NA,NA,NA,2017-09-19,2017-09-21,Actual,May 2015,NA,2015-05-31,September 2017,2017-09-30,May 2018,Anticipated,2018-05-31,May 2018,Anticipated,2018-05-31,NA,Interventional,NA,,A Sleep Program to Improve Sleep Quality in People With HIV,Efficacy Potential of an Internet-based Sleep Program to Improve Sleep Quality in People With HIV,Enrolling by invitation,NA,N/A,60,Anticipated,McGill University,,2,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,,Yes,Fully anonymized individual data may be requested from the investigators.,2018-08-02T00:07:45Z,2018-08-02T00:07:45Z
