concept_name|R1H_Days_of_Supply_95%|R1L_days of supply too lowDays_of_Supply_05%|R2H_Refils_95%|R3H_Quanitiy_of_Service_95%|R3L_Quanitiy_of_Service_05%|clinical drug concept_id|concept_code|R1H_Jitter|R1L_Jiter|R2H_Jitter|R3H_Jitter|R3L_Jitter
Doxepin 3 MG Oral Tablet|90|14|6|90|14|40173384|966787|95|9|11|99|12.6
Doxepin 6 MG Oral Tablet|90|14|5|90|14|40173388|966793|95|9|10|99|12.6
120 ACTUAT Budesonide 0.18 MG/ACTUAT Dry Powder Inhaler|90|30|5|3|1|40173399|966522|95|25|10|3.3|0.9
100 ACTUAT Beclomethasone Dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler|30|30|6|8.7|8.7|40173401|966536|35|25|11|9.57|7.83
168 HR Buprenorphine 0.005 MG/HR Transdermal System|30|14|3|4|3|40173407|904880|35|9|8|4.4|2.7
168 HR Buprenorphine 0.01 MG/HR Transdermal System|30|28|2|4|4|40173409|904870|35|23|7|4.4|3.6
168 HR Buprenorphine 0.02 MG/HR Transdermal System|30|28|3|4|4|40173411|904876|35|23|8|4.4|3.6
3 ML ibandronic acid 1 MG/ML Prefilled Syringe|90|30|3|3|3|40173414|904952|95|25|8|3.3|2.7
60 ACTUAT Budesonide 0.09 MG/ACTUAT Dry Powder Inhaler|90|15|6|3|1|40173447|966527|95|10|11|3.3|0.9
24 HR Fluvoxamine Maleate 100 MG Extended Release Oral Capsule|90|14|5|120|16|40173459|903873|95|9|10|132|14.4
24 HR Fluvoxamine Maleate 150 MG Extended Release Oral Capsule|90|14|6|90|21|40173466|903879|95|9|11|99|18.9
24 HR Hydromorphone Hydrochloride 12 MG Extended Release Oral Tablet|30|15|0|60|21|40173468|902729|35|10|5|66|18.9
24 HR Hydromorphone Hydrochloride 16 MG Extended Release Oral Tablet|30|15|0|90|21|40173470|902736|35|10|5|99|18.9
24 HR Hydromorphone Hydrochloride 8 MG Extended Release Oral Tablet|30|14|0|60|15|40173472|902741|35|9|5|66|13.5
0.5 ML Streptococcus pneumoniae serotype 1 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumoniae serotype 14 capsular antigen diphtheria CRM197 protein conjugate vaccine 0.0044 MG/ML / Streptococcus pneumonia|28|1|0|1|0.5|40173507|901640|33|-4|5|1.1|0.45
Alendronic acid 0.933 MG/ML Oral Solution|84|7|9|900|75|40173586|904447|89|2|14|990|67.5
Alendronic acid 10 MG Oral Tablet|90|28|7|90|12|40173590|904419|95|23|12|99|10.8
Alendronic acid 35 MG Oral Tablet|86|28|7|12|4|40173594|904396|91|23|12|13.2|3.6
Alendronic acid 40 MG Oral Tablet|90|28|6|90|4|40173598|904405|95|23|11|99|3.6
Alendronic acid 5 MG Oral Tablet|90|28|7|90|12|40173602|904425|95|23|12|99|10.8
Alendronic acid 70 MG / Cholecalciferol 2800 UNT Oral Tablet|84|28|8|12|4|40173606|904492|89|23|13|13.2|3.6
Alendronic acid 70 MG / Cholecalciferol 5600 UNT Oral Tablet|84|28|7|12|4|40173609|904462|89|23|12|13.2|3.6
Alendronic acid 70 MG Oral Tablet|85|28|7|12|4|40173612|904431|90|23|12|13.2|3.6
Aztreonam 75 MG/ML Inhalation Solution|56|28|5|84|84|40173627|901610|61|23|10|92.4|75.6
Carglumic acid 200 MG Tablet for Oral Suspension|30|30|9|1020|120|40173758|905390|35|25|14|1122|108
Chlordiazepoxide Hydrochloride 10 MG Oral Capsule|90|10|4|180|28|40173804|905369|95|5|9|198|25.2
Chlordiazepoxide Hydrochloride 25 MG Oral Capsule|90|3|3|120|9|40173815|905495|95|-2|8|132|8.1
Chlordiazepoxide Hydrochloride 5 MG Oral Capsule|90|10|4|180|20|40173824|905516|95|5|9|198|18
Sirolimus 0.5 MG Oral Tablet|90|28|9|200|15|40173865|905158|95|23|14|220|13.5
Pyridostigmine Bromide 12 MG/ML Oral Solution|90|6|7|1800|75|40173872|903843|95|1|12|1980|67.5
Pyridostigmine Bromide 180 MG Extended Release Oral Tablet|90|24|7|180|28|40173876|903847|95|19|12|198|25.2
2 ML Pyridostigmine Bromide 5 MG/ML Injection|37|28|21|120|72|40173882|903851|42|23|26|132|64.8
Pyridostigmine Bromide 60 MG Oral Tablet|90|14|7|405|30|40173888|903857|95|9|12|445.5|27
20 ML Ropivacaine hydrochloride 7.5 MG/ML Injection|4|4|1|2008|2008|40173915|905189|9|-1|6|2208.8|1807.2
Sotalol Hydrochloride 120 MG Oral Tablet|90|30|5|180|60|40173971|904567|95|25|10|198|54
Sotalol Hydrochloride 160 MG Oral Tablet|30|30|5|60|60|40173979|904579|35|25|10|66|54
Sotalol Hydrochloride 240 MG Oral Tablet|90|30|6|180|30|40173987|904589|95|25|11|198|27
Sotalol Hydrochloride 80 MG Oral Tablet|90|1|9|180|2|40173997|904601|95|-4|14|198|1.8
Trihexyphenidyl Hydrochloride 0.4 MG/ML Oral Solution|48|10|8|1419|60|40174046|905273|53|5|13|1560.9|54
Trihexyphenidyl Hydrochloride 2 MG Oral Tablet|90|14|7|180|15|40174052|905269|95|9|12|198|13.5
Trihexyphenidyl Hydrochloride 5 MG Oral Tablet|60|12|8|165|21|40174061|905283|65|7|13|181.5|18.9
Triptorelin 22.5 MG Injection|180|30|2|1|1|40174072|905053|185|25|7|1.1|0.9
Triptorelin 11.25 MG Injection|90|30|4|1|1|40174076|905062|95|25|9|1.1|0.9
adapalene 1 MG/ML Topical Lotion|30|15|5|59|59|40174130|905385|35|10|10|64.9|53.1
benzonatate 150 MG Oral Capsule|20|5|3|60|15|40174147|903291|25|0|8|66|13.5
diflorasone diacetate 0.0005 MG/MG Topical Ointment|50|7|3|120|15|40174156|966607|55|2|8|132|13.5
diflorasone diacetate 0.5 MG/ML Topical Cream|45|7|3|120|30|40174166|966577|50|2|8|132|27
hydrocortisone acetate 10 MG/ML / Pramoxine hydrochloride 10 MG/ML Topical Foam|30|3|3|20|10|40174284|904782|35|-2|8|22|9
liothyronine sodium 0.005 MG Oral Tablet|90|30|6|180|30|40174291|903456|95|25|11|198|27
1 ML liothyronine sodium 0.01 MG/ML Injection|1|1|0|1|1|40174299|903694|6|-4|5|1.1|0.9
liothyronine sodium 0.025 MG Oral Tablet|90|28|6|90|15|40174309|903697|95|23|11|99|13.5
liothyronine sodium 0.05 MG Oral Tablet|90|28|5|135|22|40174318|903703|95|23|10|148.5|19.8
3 ML ibandronic acid 1 MG/ML Injection|90|30|3|3|1|40174360|904955|95|25|8|3.3|0.9
ibandronic acid 150 MG Oral Tablet|90|28|7|3|1|40174364|904932|95|23|12|3.3|0.9
imiquimod 37.5 MG/ML Topical Cream|56|7|2|28|7.5|40174391|967017|61|2|7|30.8|6.75
risedronate sodium 150 MG Oral Tablet|90|28|7|3|1|40174486|905028|95|23|12|3.3|0.9
risedronate sodium 30 MG Oral Tablet|90|28|6|30|4|40174490|905032|95|23|11|33|3.6
risedronate sodium 35 MG Oral Tablet|84|28|8|12|4|40174494|905024|89|23|13|13.2|3.6
risedronate sodium 5 MG Oral Tablet|90|28|7|90|12|40174498|905041|95|23|12|99|10.8
{4 (risedronate sodium 35 MG Oral Tablet) } Pack|86|28|8|12|4|40174540|905092|91|23|13|13.2|3.6
{12 (risedronate sodium 35 MG Oral Tablet) } Pack|86|28|3|12|4|40174577|905100|91|23|8|13.2|3.6
velaglucerase alfa 400 UNT Injection|28|1|15.5|37|10|40174606|901808|33|-4|20.5|40.7|9
Etidronate Disodium 200 MG Oral Tablet|90|6|5|120|14|40174659|904535|95|1|10|132|12.6
Etidronate Disodium 400 MG Oral Tablet|90|11|3|120|14|40174663|904547|95|6|8|132|12.6
Fluvoxamine Maleate 100 MG Oral Tablet|90|14|7|180|14|40174725|903884|95|9|12|198|12.6
Fluvoxamine Maleate 25 MG Oral Tablet|90|7|9|120|7.75|40174735|903887|95|2|14|132|6.975
Fluvoxamine Maleate 50 MG Oral Tablet|90|10|9|135|14|40174739|903891|95|5|14|148.5|12.6
Hydralazine Hydrochloride 10 MG Oral Tablet|90|10|6|270|30|40174765|905199|95|5|11|297|27
Hydralazine Hydrochloride 100 MG Oral Tablet|90|19|6|270|42|40174772|905222|95|14|11|297|37.8
1 ML Hydralazine Hydrochloride 20 MG/ML Injection|30|1|2|200|1|40174776|966571|35|-4|7|220|0.9
Hydralazine Hydrochloride 25 MG Oral Tablet|90|14|6|270|30|40174811|905225|95|9|11|297|27
Hydralazine Hydrochloride 37.5 MG / Isosorbide Dinitrate 20 MG Oral Tablet|90|14|7|270|28|40174815|905377|95|9|12|297|25.2
Hydralazine Hydrochloride 50 MG Oral Tablet|90|15|6|270|30|40174825|905395|95|10|11|297|27
Levothyroxine Sodium 0.075 MG Oral Capsule|90|28|7|90|18|40174878|905458|95|23|12|99|16.2
Levothyroxine Sodium 0.075 MG Oral Tablet|90|23|7|90|15|40174880|966222|95|18|12|99|13.5
Levothyroxine Sodium 0.088 MG Oral Capsule|90|28|6|90|28|40174905|905462|95|23|11|99|25.2
Levothyroxine Sodium 0.088 MG Oral Tablet|90|28|6|90|21|40174907|966253|95|23|11|99|18.9
Levothyroxine Sodium 0.1 MG / liothyronine sodium 0.025 MG Oral Tablet|90|90|0|90|90|40174934|903305|95|85|5|99|81
Levothyroxine Sodium 0.1 MG Oral Capsule|90|28|6|91|26|40174937|966404|95|23|11|100.1|23.4
Levothyroxine Sodium 0.5 MG Injection|84|6|8|28|1|40174964|966219|89|1|13|30.8|0.9
Levothyroxine Sodium 0.112 MG Oral Capsule|90|28|6|90|26|40174970|905451|95|23|11|99|23.4
Levothyroxine Sodium 0.112 MG Oral Tablet|90|28|6|90|20|40174972|966248|95|23|11|99|18
Levothyroxine Sodium 0.125 MG Oral Capsule|90|28|6|90|28|40174999|966405|95|23|11|99|25.2
Levothyroxine Sodium 0.125 MG Oral Tablet|90|19|7|90|15|40175001|966224|95|14|12|99|13.5
Levothyroxine Sodium 0.137 MG Oral Capsule|90|28|6|90|28|40175024|905455|95|23|11|99|25.2
Levothyroxine Sodium 0.137 MG Oral Tablet|90|28|6|90|16|40175026|966270|95|23|11|99|14.4
Levothyroxine Sodium 0.15 MG Oral Capsule|90|26|7|91|28|40175048|966413|95|21|12|100.1|25.2
Levothyroxine Sodium 0.15 MG Oral Tablet|90|15|7|90|14|40175050|966225|95|10|12|99|12.6
Levothyroxine Sodium 0.175 MG Oral Tablet|90|14|6|90|14|40175077|966249|95|9|11|99|12.6
Levothyroxine Sodium 0.013 MG Oral Capsule|90|28|6|91|18|40175161|966412|95|23|11|100.1|16.2
Levothyroxine Sodium 0.025 MG Oral Capsule|90|21|6|91|22|40175172|966406|95|16|11|100.1|19.8
Levothyroxine Sodium 0.025 MG Oral Tablet|90|14|7|90|14|40175174|966220|95|9|12|99|12.6
Levothyroxine Sodium 0.05 MG / liothyronine sodium 0.0125 MG Oral Tablet|30|30|3|60|60|40175205|903438|35|25|8|66|54
Levothyroxine Sodium 0.05 MG Oral Capsule|90|24|6|90|15|40175208|966407|95|19|11|99|13.5
Levothyroxine Sodium 0.05 MG Oral Tablet|90|15|7|90|15|40175210|966221|95|10|12|99|13.5
Nalbuphine Hydrochloride 10 MG/ML Injectable Solution|35|3|9|240|10|40175249|904415|40|-2|14|264|9
Nalbuphine Hydrochloride 20 MG/ML Injectable Solution|32|4|11|240|10|40175253|904440|37|-1|16|264|9
Olsalazine sodium 250 MG Oral Capsule|90|14|10|360|30|40175280|905162|95|9|15|396|27
POLYETHYLENE GLYCOL 3350 236000 MG / Potassium Chloride 2970 MG / Sodium Bicarbonate 6740 MG / Sodium Chloride 5860 MG / sodium sulfate 22740 MG Powder for Oral Solution|2|1|0|4000|4000|40175289|966920|7|-4|5|4400|3600
POLYETHYLENE GLYCOL 3350 240000 MG / Potassium Chloride 2980 MG / Sodium Bicarbonate 6720 MG / Sodium Chloride 5840 MG / sodium sulfate 22720 MG Powder for Oral Solution|2|1|0|4000|4000|40175294|966914|7|-4|5|4400|3600
Protriptyline Hydrochloride 10 MG Oral Tablet|90|26|6|270|30|40175376|905168|95|21|11|297|27
Protriptyline Hydrochloride 5 MG Oral Tablet|90|15|6|240|30|40175380|905172|95|10|11|264|27
Pravastatin Sodium 10 MG Oral Tablet|90|30|6|90|28|40175390|904458|95|25|11|99|25.2
Pravastatin Sodium 20 MG Oral Tablet|90|30|6|90|30|40175394|904467|95|25|11|99|27
Pravastatin Sodium 40 MG Oral Tablet|90|30|6|90|30|40175400|904475|95|25|11|99|27
Pravastatin Sodium 80 MG Oral Tablet|90|30|6|90|30|40175404|904481|95|25|11|99|27
Primaquine Phosphate 26.3 MG Oral Tablet|30|7|4|60|10|40175427|904170|35|2|9|66|9
Potassium Chloride 0.4 MEQ / Sodium Chloride 7.69 MEQ Oral Tablet|30|28|0|168|90|40175446|904255|35|23|5|184.8|81
ALPHA-D-GALACTOSIDASE ENZYME 600 UNT Oral Capsule|14|14|0|14|14|40175477|968644|19|9|5|15.4|12.6
Chondroitin Sulfates 400 MG / Glucosamine hydrochloride 750 MG / methylsulfonylmethane 375 MG Oral Tablet|90|14|13|180|16|40175618|968689|95|9|18|198|14.4
amphotericin B liposomal 50 MG Injection|28|1|12|312|2|40175779|967385|33|-4|17|343.2|1.8
everolimus 0.25 MG Oral Tablet|90|27|9|380|51|40175813|977427|95|22|14|418|45.9
everolimus 0.5 MG Oral Tablet|90|28|9|480|60|40175817|977434|95|23|14|528|54
everolimus 0.75 MG Oral Tablet|90|30|9|300|30|40175821|977438|95|25|14|330|27
Phentermine Hydrochloride 15 MG Oral Capsule|30|15|2|60|30|40176158|968766|35|10|7|66|27
Codeine Phosphate 2 MG/ML / Promethazine Hydrochloride 1.25 MG/ML Oral Solution|30|4|1|300|60|40176329|991486|35|-1|6|330|54
Dalteparin Sodium 25000 UNT/ML Injectable Solution|29|14|10|45.6|15.2|40176348|978777|34|9|15|50.16|13.68
Dextromethorphan Hydrobromide 3 MG/ML / Promethazine Hydrochloride 1.25 MG/ML Oral Solution|30|4|2|360|100|40176686|991528|35|-1|7|396|90
Dicyclomine Hydrochloride 10 MG Oral Capsule|90|7|5|270|21|40176723|991061|95|2|10|297|18.9
2 ML Dicyclomine Hydrochloride 10 MG/ML Injection|10|1|9.5|50|2|40176728|991065|15|-4|14.5|55|1.8
Dicyclomine Hydrochloride 2 MG/ML Oral Solution|31|2|6|1200|60|40176738|991082|36|-3|11|1320|54
Dicyclomine Hydrochloride 20 MG Oral Tablet|90|5|5|270|20|40176744|991086|95|0|10|297|18
1 ML Dalteparin Sodium 10000 UNT/ML Prefilled Syringe|30|10|6|60|10|40176906|978755|35|5|11|66|9
12 HR Oxymorphone Hydrochloride 30 MG Extended Release Oral Tablet|30|15|0|90|30|40176912|977909|35|10|5|99|27
12 HR Oxymorphone Hydrochloride 40 MG Extended Release Oral Tablet|30|20|0|120|30|40176914|977915|35|15|5|132|27
12 HR Oxymorphone Hydrochloride 5 MG Extended Release Oral Tablet|30|14|0|90|21|40176916|977923|35|9|5|99|18.9
12 HR Oxymorphone Hydrochloride 7.5 MG Extended Release Oral Tablet|30|14|0|60|28|40176918|977929|35|9|5|66|25.2
0.2 ML Dalteparin Sodium 12500 UNT/ML Prefilled Syringe|90|2|19|18|0.4|40177140|978725|95|-3|24|19.8|0.36
0.2 ML Dalteparin Sodium 25000 UNT/ML Prefilled Syringe|30|5|8|12|1|40177142|978733|35|0|13|13.2|0.9
0.3 ML Dalteparin Sodium 25000 UNT/ML Prefilled Syringe|30|10|8|15|3|40177152|978736|35|5|13|16.5|2.7
0.5 ML Dalteparin Sodium 25000 UNT/ML Prefilled Syringe|30|7|7|30|5|40177173|978740|35|2|12|33|4.5
0.6 ML Dalteparin Sodium 25000 UNT/ML Prefilled Syringe|30|7|10|36|4.2|40177228|978744|35|2|15|39.6|3.78
0.72 ML Dalteparin Sodium 25000 UNT/ML Prefilled Syringe|31|5|9|43.2|3.6|40177231|978746|36|0|14|47.52|3.24
12 HR Oxymorphone Hydrochloride 10 MG Extended Release Oral Tablet|30|14|0|90|28|40177238|977874|35|9|5|99|25.2
12 HR Oxymorphone Hydrochloride 15 MG Extended Release Oral Tablet|30|15|0|90|28|40177240|977894|35|10|5|99|25.2
12 HR Oxymorphone Hydrochloride 20 MG Extended Release Oral Tablet|30|15|0|90|30|40177242|977902|35|10|5|99|27
Amiloride Hydrochloride 5 MG / Hydrochlorothiazide 50 MG Oral Tablet|90|30|6|90|15|40177826|977883|95|25|11|99|13.5
Amiloride Hydrochloride 5 MG Oral Tablet|90|25|7|180|16|40177829|977880|95|20|12|198|14.4
Ascorbic Acid 60 MG / Calcium Carbonate 1500 MG / Cholecalciferol 500 UNT / Vitamin E 15 UNT Oral Tablet|31|28|7|62|28|40178248|991376|36|23|12|68.2|25.2
Calamine 80 MG/ML / phenol 10 MG/ML / Zinc Oxide 80 MG/ML Topical Lotion|30|30|0|177|177|40178928|991369|35|25|5|194.7|159.3
Chloroprocaine hydrochloride 10 MG/ML Injectable Solution|28|28|1|30|30|40178982|992801|33|23|6|33|27
Carteolol Hydrochloride 10 MG/ML Ophthalmic Solution|90|20|6|20|5|40179060|978573|95|15|11|22|4.5
Chlorpromazine hydrochloride 10 MG Oral Tablet|31|5|7|180|10|40179635|991039|36|0|12|198|9
Chlorpromazine hydrochloride 100 MG Oral Tablet|31|7|7|180|14|40179642|991044|36|2|12|198|12.6
Chlorpromazine hydrochloride 200 MG Oral Tablet|31|7|8|124|14|40179675|991188|36|2|13|136.4|12.6
Chlorpromazine hydrochloride 25 MG Oral Tablet|31|4|6|150|10|40179680|991194|36|-1|11|165|9
Chlorpromazine hydrochloride 50 MG Oral Tablet|31|7|7|150|12|40179703|991336|36|2|12|165|10.8
Promethazine Hydrochloride 1.25 MG/ML Oral Solution|30|3|2|560|110|40180031|992432|35|-2|7|616|99
Promethazine Hydrochloride 12.5 MG Oral Tablet|30|2|3|90|10|40180039|992438|35|-3|8|99|9
Promethazine Hydrochloride 12.5 MG Rectal Suppository|30|1|2|40|4|40180041|992441|35|-4|7|44|3.6
Promethazine Hydrochloride 25 MG Oral Tablet|30|3|4|120|10|40180065|992447|35|-2|9|132|9
Promethazine Hydrochloride 25 MG Rectal Suppository|30|1|3|60|4|40180068|992454|35|-4|8|66|3.6
1 ML Promethazine Hydrochloride 25 MG/ML Injection|28|1|17|66|1|40180076|992460|33|-4|22|72.6|0.9
Promethazine Hydrochloride 50 MG Oral Tablet|33|5|4|120|15|40180088|992475|38|0|9|132|13.5
Promethazine Hydrochloride 50 MG Rectal Suppository|30|2|5|60|5|40180090|992478|35|-3|10|66|4.5
1 ML Promethazine Hydrochloride 50 MG/ML Injection|30|1|19|125|1|40180096|992858|35|-4|24|137.5|0.9
Sodium phenylbutyrate 0.94 MG/MG Oral Powder|31|10|22|750|250|40180858|984105|36|5|27|825|225
Terbinafine hydrochloride 10 MG/ML Topical Cream|30|6|13|60|15|40180873|992528|35|1|18|66|13.5
Terbinafine hydrochloride 10 MG/ML Topical Spray|30|2|4|250|125|40180878|992535|35|-3|9|275|112.5
20 ML amphotericin B lipid complex 5 MG/ML Injection|30|3.5|6|600|20|40181424|984078|35|-1.5|11|660|18
alpha 1-proteinase inhibitor, human 50 MG/ML Injectable Solution|28|14|11|31840|7616|40181691|991732|33|9|16|35024|6854.4
dimethicone 50 MG/ML / Menthol 1.5 MG/ML Topical Lotion|27|10|3|396|396|40181873|978282|32|5|8|435.6|356.4
halobetasol propionate 0.0005 MG/MG Topical Ointment|30|7|3|100|15|40182093|977978|35|2|8|110|13.5
halobetasol propionate 0.5 MG/ML Topical Cream|30|7|3|140|15|40182097|977990|35|2|8|154|13.5
homatropine methylbromide 0.3 MG/ML / Hydrocodone Bitartrate 1 MG/ML Oral Solution|24|3|0|300|60|40182175|992668|29|-2|5|330|54
homatropine methylbromide 1.5 MG / Hydrocodone Bitartrate 5 MG Oral Tablet|22|3|0|90|9|40182213|992656|27|-2|5|99|8.1
methenamine hippurate 1000 MG Oral Tablet|90|14|9|180|14|40182265|992150|95|9|14|198|12.6
methenamine mandelate 1000 MG Oral Tablet|90|14|8|180|17|40182270|992153|95|9|13|198|15.3
methenamine mandelate 500 MG Oral Tablet|90|14|8|180|28|40182277|992184|95|9|13|198|25.2
gatifloxacin 5 MG/ML Ophthalmic Solution|30|7|1|5|2.5|40182302|992395|35|2|6|5.5|2.25
phendimetrazine tartrate 35 MG Oral Tablet|28|28|0|84|84|40182492|979549|33|23|5|92.4|75.6
100 ML Esmolol hydrochloride 20 MG/ML Injection|30|30|0|100|100|40182874|979432|35|25|5|110|90
Folic Acid 1 MG / heme iron polypeptide 6 MG / Polysaccharide iron complex 22 MG / Vitamin B 12 0.025 MG Oral Tablet|14|14|0|14|14|40183393|978676|19|9|5|15.4|12.6
Glycerin 5 MG/ML / Propylene glycol 6 MG/ML Ophthalmic Solution|30|7|12|28|15|40183736|991424|35|2|17|30.8|13.5
Hydroxychloroquine Sulfate 200 MG Oral Tablet|90|30|5|180|30|40184084|979092|95|25|10|198|27
Hydrochlorothiazide 12.5 MG / Losartan Potassium 100 MG Oral Tablet|90|30|5|90|30|40184184|979464|95|25|10|99|27
Hydrochlorothiazide 12.5 MG / Losartan Potassium 50 MG Oral Tablet|90|30|5|90|30|40184187|979468|95|25|10|99|27
Hydrochlorothiazide 25 MG / Losartan Potassium 100 MG Oral Tablet|90|30|5|90|30|40184217|979471|95|25|10|99|27
Homatropine hydrobromide 50 MG/ML Ophthalmic Solution|67.5|10|4|5|5|40184420|992757|72.5|5|9|5.5|4.5
Loperamide Hydrochloride 0.2 MG/ML Oral Solution|30|2|12|1180|118|40184712|977986|35|-3|17|1298|106.2
Loperamide Hydrochloride 2 MG / Simethicone 125 MG Oral Tablet|28|1|13|56|2|40184722|978001|33|-4|18|61.6|1.8
Loperamide Hydrochloride 2 MG Oral Capsule|31|3|5|200|10|40184727|978006|36|-2|10|220|9
Loperamide Hydrochloride 2 MG Oral Tablet|30|2|9|120|8|40184730|978010|35|-3|14|132|7.2
Itraconazole 200 MG Oral Tablet|84|7|4|84|7|40184845|992413|89|2|9|92.4|6.3
Methadone Hydrochloride 10 MG/ML Oral Solution|30|5|2|510|7|40185005|991147|35|0|7|561|6.3
Methamphetamine Hydrochloride 5 MG Oral Tablet|33|20|0|420|56|40185056|977860|38|15|5|462|50.4
Miconazole Nitrate 100 MG Vaginal Insert|7|3|1|7|7|40185204|992780|12|-2|6|7.7|6.3
Miconazole Nitrate 200 MG Vaginal Insert|8.5|3|1|6|3|40185215|992765|13.5|-2|6|6.6|2.7
Losartan Potassium 100 MG Oral Tablet|90|30|6|90|30|40185276|979480|95|25|11|99|27
Losartan Potassium 25 MG Oral Tablet|90|30|6|100|28|40185280|979485|95|25|11|110|25.2
0.6 ML Methylnaltrexone bromide 20 MG/ML Injection|30|1|14|18|0.6|40185297|979113|35|-4|19|19.8|0.54
Losartan Potassium 50 MG Oral Tablet|90|30|6|180|30|40185304|979492|95|25|11|198|27
Mechlorethamine hydrochloride 10 MG Injection|90|28|2|454|100|40185385|992166|95|23|7|499.4|90
Metaproterenol Sulfate 10 MG Oral Tablet|90|14|7|270|30|40185400|979409|95|9|12|297|27
Metaproterenol Sulfate 2 MG/ML Oral Solution|90|8|5|1350|120|40185410|979444|95|3|10|1485|108
Metaproterenol Sulfate 20 MG Oral Tablet|90|27|6|270|30|40185416|979475|95|22|11|297|27
1 ML Oxymorphone Hydrochloride 1 MG/ML Injection|7|7|0|20|20|40187733|977935|12|2|5|22|18
Oxymorphone Hydrochloride 10 MG Oral Tablet|30|14|0|180|30|40187745|977942|35|9|5|198|27
Oxymorphone Hydrochloride 5 MG Oral Tablet|30|8|0|168|28|40187779|977939|35|3|5|184.8|25.2
1000 ML Sodium Chloride 9 MG/ML Injection|14|1|21|11000|500|40220357|1807639|19|-4|26|12100|450
Biphasic 12 HR Hyoscyamine Sulfate 0.375 MG Extended Release Oral Tablet|90|4|3|180|30|40220369|1807886|95|-1|8|198|27
Modified 24 HR Metformin hydrochloride 1000 MG Extended Release Oral Tablet|90|30|5|180|30|40220371|1807888|95|25|10|198|27
Osmotic 24 HR Metformin hydrochloride 1000 MG Extended Release Oral Tablet|90|28|5|180|30|40220373|1807894|95|23|10|198|27
Modified 24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet|90|30|5|360|30|40220375|1807915|95|25|10|396|27
Osmotic 24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet|90|30|5|360|30|40220376|1807917|95|25|10|396|27
24 HR lorcaserin hydrochloride 20 MG Extended Release Oral Tablet|90|30|2|90|30|40220410|1808549|95|25|7|99|27
2 ML Immunoglobulin G, Human 180 MG/ML Injection|84|21|9|16|2|40220448|1809032|89|16|14|17.6|1.8
10 ML Immunoglobulin G, Human 180 MG/ML Injection|90|16|10|40|10|40220453|1809037|95|11|15|44|9
50 ML Immunoglobulin G, Human 200 MG/ML Injection|28|7|11|600|100|40220467|1809061|33|2|16|660|90
20 ML Immunoglobulin G, Human 200 MG/ML Injection|28|7|11|320|40|40220472|1809066|33|2|16|352|36
10 ML Immunoglobulin G, Human 200 MG/ML Injection|28|21|10|280|20|40220474|1809068|33|16|15|308|18
5 ML Immunoglobulin G, Human 200 MG/ML Injection|28|7|11|280|10|40220480|1809076|33|2|16|308|9
5 ML Sulfamethoxazole 80 MG/ML / Trimethoprim 16 MG/ML Injection|10|3|2|1300|25|40220483|1809083|15|-2|7|1430|22.5
Immunoglobulin G, Human 12000 MG Injection|30|1|43|14|2|40220507|1809212|35|-4|48|15.4|1.8
Immunoglobulin G, Human 6000 MG Injection|30|1|24|36|1|40220511|1809218|35|-4|29|39.6|0.9
50 ML Immunoglobulin G, Human 100 MG/ML Injection|30|1|11|1750|50|40220524|1809414|35|-4|16|1925|45
100 ML Immunoglobulin G, Human 100 MG/ML Injection|30|2|11|2000|100|40220529|1809421|35|-3|16|2200|90
10 ML Immunoglobulin G, Human 100 MG/ML Injection|30|3|11|1600|10|40220536|1809434|35|-2|16|1760|9
25 ML Immunoglobulin G, Human 100 MG/ML Injection|30|2|10|1350|25|40220540|1809438|35|-3|15|1485|22.5
200 ML Immunoglobulin G, Human 100 MG/ML Injection|30|1|12|2000|200|40220544|1809444|35|-4|17|2200|180
50 ML Immunoglobulin G, Human 50 MG/ML Injection|30|28|8|3250|50|40220546|1809447|35|23|13|3575|45
100 ML Immunoglobulin G, Human 50 MG/ML Injection|30|1|10|3500|100|40220548|1809456|35|-4|15|3850|90
200 ML Immunoglobulin G, Human 50 MG/ML Injection|30|2|10|3600|200|40220550|1809463|35|-3|15|3960|180
400 ML Immunoglobulin G, Human 50 MG/ML Injection|30|1|11|3200|400|40220554|1809474|35|-4|16|3520|360
20 ML Immunoglobulin G, Human 100 MG/ML Injection|30|1|6|1940|240|40220558|1809497|35|-4|11|2134|216
400 ML Immunoglobulin G, Human 100 MG/ML Injection|30|2|12|2000|400|40220576|1809524|35|-3|17|2200|360
300 ML Immunoglobulin G, Human 100 MG/ML Injection|30|1|13|1800|300|40220583|1809539|35|-4|18|1980|270
20 ML Immunoglobulin G, Human 50 MG/ML Injection|35|2|10|3440|80|40220616|1809642|40|-3|15|3784|72
Immunoglobulin G, Human 5000 MG Injection|30|1|14|36|1|40220637|1809728|35|-4|19|39.6|0.9
Immunoglobulin G, Human 10000 MG Injection|30|1|11|20|2|40220641|1809736|35|-4|16|22|1.8
hydrocortisone acetate 25 MG/ML Topical Cream|30|7|2|120|28.4|40220659|1809843|35|2|7|132|25.56
0.4 ML Granisetron 25 MG/ML Prefilled Syringe|28|1|4|2.4|0.4|40220690|1810484|33|-4|9|2.64|0.36
